OBJECTID,drain_type,drain_wid,drain_dep,drain_len,dlen_km,zone,ward,status,water_flow,geometry_wkid,geometry_latest_wkid,path_count,vertex_count,min_x,max_x,min_y,max_y,bbox_width_m,bbox_height_m,geometry_length_m,geometry_length_km
,SWD,1181.1091353796,1.20000000000e+000,1181.51006645,1.18151,N10,136,Good,Yes,,,1,53,413743.6591218192,414273.11384544015,1441262.2844938564,1442146.4991701671,529.4547236209619,884.2146763107739,1181.5100449581346,1.1815100449581346
,SWD,251.74232785962,1.48,251.74232786,0.251742,N10,136,Good,Yes,,,1,20,413725.3149965331,413758.63298548025,1441267.323967278,1441489.6979999058,33.3179889471503,222.37403262779117,251.74238689352657,0.25174238689352657
,SWD,1.40,1.40,1124.83523829,1.124835,N10,138,Good,Yes,,,1,141,412999.974325781,414110.3120271934,1441176.0219855797,1441346.610969019,1110.3377014123835,170.58898343914188,1124.8352446346018,1.124835244634602
