flood_row_index,flood_latitude,flood_longitude,csv_drain_width_m,csv_drain_depth_m,csv_drain_length_km,gcc_objectid,gcc_drain_wid,gcc_drain_dep,gcc_drain_len,gcc_dlen_km,gcc_drain_type,gcc_water_flow,gcc_status,gcc_zone,gcc_ward,nearest_gcc_vertex_distance_km,geometry_paths,geometry_vertices,first_vertex,last_vertex
100,13.0356316,80.20589802,688.649812050542,1.2,0.68865,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,76.02857080281754,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
101,13.03607256,80.20274777,271.239273687065,2.5,0.271239,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,76.26492597561102,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
102,13.03663405,80.19968636,37.1688552872238,2.55,0.037169,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,76.48624492316111,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
104,13.03729809,80.20456363,251.74232785962,1.48,0.251742,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,76.02613533485818,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
105,13.04049353,80.20510074,228.741519290665,0.7,0.228742,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,75.75995532499074,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
106,13.03851317,80.2084877,955.642488167453,1.2,0.955642,,0.29,0.29,293.532,0.293532,Side Drain,Yes,Bad,N01,001,75.60941054738831,1,11,"[427074.6620136485, 1462440.2850023173]","[427037.9900190053, 1462705.6699688244]"
