flood_record_index,latitude,longitude,our_drain_width_m,our_drain_depth_m,our_drain_length_km,our_drain_type,our_water_flow,our_drain_status,gcc_objectid,gcc_drain_wid_m,gcc_drain_dep_m,gcc_drain_len_m,gcc_dlen_km,gcc_drain_type,gcc_water_flow,gcc_status,gcc_zone,gcc_ward,nearest_drain_distance_m,nearest_drain_distance_km,utm_x,utm_y,geometry_path_count,geometry_vertex_count
100,13.0356316,80.20589802,688.649812050542,1.2,0.68865,SWD,Yes,Good,2167,1.40,1.40,1124.83523829,1.124835,SWD,Yes,Good,N10,138,1.4786884426342346,0.0014786884426342345,413896.30845723103,1441210.6849081244,1,141
101,13.03607256,80.20274777,271.239273687065,2.5,0.271239,SWD,Yes,Good,2167,1.40,1.40,1124.83523829,1.124835,SWD,Yes,Good,N10,138,0.48833076265015524,0.0004883307626501552,413554.86314597074,1441260.5234939584,1,141
102,13.03663405,80.19968636,37.1688552872238,2.55,0.037169,SWD,Yes,Good,2167,1.40,1.40,1124.83523829,1.124835,SWD,Yes,Good,N10,138,11.79022112454489,0.01179022112454489,413223.09418758965,1441323.666202572,1,141
104,13.03729809,80.20456363,251.74232785962,1.48,0.251742,SWD,Yes,Good,2091,251.74232785962,1.48,251.74232786,0.251742,SWD,Yes,Good,N10,136,5.485081493740748,0.005485081493740748,413752.19068605924,1441395.445087581,1,20
105,13.04049353,80.20510074,228.741519290665,0.7,0.228742,SWD,Yes,Good,2045,1181.1091353796,1.20000000000e+000,1181.51006645,1.18151,SWD,Yes,Good,N10,136,8.135104004706319,0.00813510400470632,413811.5382338356,1441748.666224841,1,53
106,13.03851317,80.2084877,955.642488167453,1.2,0.955642,SWD,Yes,Good,2006,1.010000000000000,1.010000000000000,749.981467023,0.749981,SWD,Yes,Good,N10,135,2.314850578117747,0.002314850578117747,414178.1142737407,1441528.4988018542,1,21
