latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.97438468,80.22041917,FLOOD,5825,N13,176,"Velachery AGS Colony, Chennai",0.027166,0.6,1.8,0.217613,SWD,YES,GOOD,0.6 x 1.8,0.6,1.8,217.613226111,drain_size,drain_size,drain_len,217.613,27.166
12.9636665,80.21545239,FLOOD,7319,N14,188,"Madipakkam, Chennai",0.034184,1.85,1.85,1.802702,SWD,YES,GOOD,1.85 x 1.85,1.85,1.85,1802.70195857,drain_size,drain_size,drain_len,1802.702,34.184
12.96374525,80.21517377,FLOOD,7319,N14,188,"Madipakkam, Chennai",0.06556,1.85,1.85,1.802702,SWD,YES,GOOD,1.85 x 1.85,1.85,1.85,1802.70195857,drain_size,drain_size,drain_len,1802.702,65.56
12.96467937,80.1961197,FLOOD,7163,N14,187,"Madipakkam, Chennai",0.006772,1.25,1.25,0.563936,SWD,YES,GOOD,1.25 x 1.25,1.25,1.25,563.936,drain_size,drain_size,drain_len,563.936,6.772
12.96464147,80.19598592,FLOOD,7163,N14,187,"Madipakkam, Chennai",0.006557,1.25,1.25,0.563936,SWD,YES,GOOD,1.25 x 1.25,1.25,1.25,563.936,drain_size,drain_size,drain_len,563.936,6.557
12.96464669,80.1959135,FLOOD,7163,N14,187,"Madipakkam, Chennai",0.006563,1.25,1.25,0.563936,SWD,YES,GOOD,1.25 x 1.25,1.25,1.25,563.936,drain_size,drain_size,drain_len,563.936,6.563
12.96515214,80.19233543,FLOOD,7163,N14,187,"Madipakkam, Chennai",0.007586,1.25,1.25,0.563936,SWD,YES,GOOD,1.25 x 1.25,1.25,1.25,563.936,drain_size,drain_size,drain_len,563.936,7.586
12.96521912,80.19208733,FLOOD,7163,N14,187,"Madipakkam, Chennai",0.006414,1.25,1.25,0.563936,SWD,YES,GOOD,1.25 x 1.25,1.25,1.25,563.936,drain_size,drain_size,drain_len,563.936,6.414
12.99677716,80.24918921,FLOOD,5514,N13,173,"Adayar OT,Chennai",0.097802,1.2,1.2,0.320483,SWD,YES,GOOD,1.2 x 1.2,1.27,1.27,320.482556558,drain_size,drain_size,drain_len,320.482,97.802
12.99670431,80.24920732,FLOOD,5514,N13,173,"Adayar OT,Chennai",0.097786,1.2,1.2,0.320483,SWD,YES,GOOD,1.2 x 1.2,1.27,1.27,320.482556558,drain_size,drain_size,drain_len,320.482,97.786
13.00688792,80.24010926,FLOOD,5328,N13,169,"Saidapet, Chennai",0.037863,1.2,1.2,1.199664,SWD,YES,BAD,1.2 x 1.2,1.2,1.2,1199.66405787,drain_size,drain_size,drain_len,1199.664,37.863
12.97966665,80.2432156,FLOOD,6064,N13,178,"Thiruvanmiyur, Chennai",0.008929,1.35,1.35,0.290002,SWD,YES,GOOD,1.35 x 1.35,1.35,1.35,290.002480774,drain_size,drain_size,drain_len,290.002,8.929
