latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
12.935,80.19,BACKGROUND,7419,N14,190,"Jalladianpet, Chennai",1.189448,0.75,0.75,0.211452,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,211.452,drain_size,drain_size,drain_len,211.452,1189.448
12.935,80.28,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",2.884634,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,2884.634
12.935,80.34,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",8.683754,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,8683.754
12.94,80.15,BACKGROUND,7186,N14,188,"Madipakkam, Chennai",4.67172,0.87,0.87,0.380705,SWD,YES,GOOD,0.87 x 0.87,0.87,0.87,380.704652016,drain_size,drain_size,drain_len,380.705,4671.72
12.94,80.225,BACKGROUND,7685,N15,195,"Kotivakkam, Chennai",0.687364,0.7,0.7,0.321058,SWD,YES,GOOD,0.70 x 0.70,0.7,0.7,321.058020046,drain_size,drain_size,drain_len,321.058,687.364
12.94,80.295,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",3.903548,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,3903.548
12.945,80.105,BACKGROUND,4244,N12,159,"Meenambakkam, Chennai",7.847284,1.65,1.65,1.140986,SWD,YES,GOOD,1.65 x 1.65,1.65,1.65,1140.98597245,drain_size,drain_size,drain_len,1140.986,7847.284
12.945,80.165,BACKGROUND,7186,N14,188,"Madipakkam, Chennai",2.954208,0.87,0.87,0.380705,SWD,YES,GOOD,0.87 x 0.87,0.87,0.87,380.704652016,drain_size,drain_size,drain_len,380.705,2954.208
12.945,80.24,BACKGROUND,7624,N15,193,"Kotivakkam, Chennai",0.030445,0.66,0.66,0.393024,SIDE_DRAIN,YES,GOOD,0.66 x 0.66,0.66,0.66,393.023553239,drain_size,drain_size,drain_len,393.024,30.445
12.945,80.3,BACKGROUND,7594,N15,192,"Neelangarai, Chennai",4.207499,0.4,0.4,0.27067,SIDE_DRAIN,YES,BAD,0.40 x 0.40,0.4,0.4,270.669742524,drain_size,drain_size,drain_len,270.67,4207.499
