objectid,zone,ward,location,drain_type,cover,drain_len,drain_wid,drain_dep,drain_size,mh_shape,mh_size,typ_mat,water_flow,puca_kacha,status,swd_mat,drain_detl,invert_sp,invert_ep,inlet_shp,strt_east,strt_north,end_east,end_north,obstacles,dlen_km,st_length(shape)
2045,N10,136,"Ashok Nagar, Chennai",SWD,Yes,1181.51006645,1181.1091353796,1.20000000000e+000,1.2 x 1.2,Rounded,600,Concrete,Yes,Pucca,Good,Concrete,Closed,8.688,8.571,Rounded,413743.659087558,1441262.28449573,414273.113807537,1442146.49915896,Electrical Junction Box,1.18151,1218.1784777163368
2091,N10,136,"Ashok Nagar, Chennai",SWD,Yes,251.74232786,251.74232785962,1.48,1.48 x 1.48,Rounded,900,Concrete,Yes,Pucca,Good,Concrete,Closed,8.561,8.393,Rectangular,413726.106000001,1441489.698,413725.315000001,1441267.324,Electric Junction Box,0.251742,259.84881756691664
2167,N10,138,"K.K.Nagar, Chennai",SWD,Yes,1124.83523829,1.40,1.40,1.40 x 1.40,Rounded,600,Concrete,Yes,Pucca,Good,Concrete,Closed,9.524,7.910,Rounded,414110.312000001,1441176.022,412999.974345841,1441346.61092225,NA,1.124835,1154.932136558074
